index,Symbol,Company name,Last price,Change,% change,Volume,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,fax,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url,Current Ratio,Debt to Current Asset
0,U14.SI,UOL Group Limited,6.69,0,0.00%,604600,307591,Real Estate,1900,"UOL Group Limited primarily engages in the property development and investment, and hotel businesses. Its property development projects include residential units, office towers and shopping malls, and hotels and serviced suites. The company also owns and/or manages approximately 30 hotels, resorts, and services suites under the Pan Pacific, PARKROYAL COLLECTION, and PARKROYAL names in Asia, Oceania, and North America with approximately 10,000 rooms in its portfolio. In addition, it is involved in the rental and management of serviced suites; lease of commercial offices and retail malls; operation of restaurants; and management and operation of health and beauty retreats and facilities. Further, the company engages in the retail of computer hardware and software, as well as provision of systems integration and networking infrastructure services; property trading business; management and licensing of trademarks; and business development activity. Additionally, it provides treasury, retail management consultancy, project and property management, property management agency, and trustee services; technical, accounting, and marketing and related services to hotels and serviced suites; and information technology related products and services, as well as invests in quoted and unquoted financial assets. It has operations in Singapore, Australia, Vietnam, Malaysia, the People's Republic of China, Myanmar, the United Kingdom, and internationally. The company was formerly known as United Overseas Land Limited and changed its name to UOL Group Limited in 2006. UOL Group Limited was founded in 1963 and is based in Singapore.",Singapore,65 6255 0233,Singapore,http://www.uol.com.sg,1,101 Thomson Road,65 6252 9822,Real Estate—Development,No. 33-00 United Square,6.69,6.63,6.8039284,0.026158445,1.146,,6.7,,1128875,,6.69,6.593714,0.175,6.63,,1128875,,,,0.17,1592352000,0.970481,,,6.63,2,SGD,43.72549,604600,,,,5643536896,,,1258100,2.9120626,6.63,6.69,,0,604600,8.58,14.543478,,2.35,6.01,6.68,FALSE,0.026199998,0,6.7,SES,UOL,UOL Group Limited,Asia/Singapore,SGT,FALSE,28800000,EQUITY,U14.SI,finmb_874568,sg_market,,7.38,,0.06653,22.835,-0.10918778,,0.46,,843577984,,,11.338,,,,1577750400,0.12199,128930000,0.153,,0.11441445,0.5900512,0.45396,1640908800,1593475200,,,456569847,14303082496,,,,,,,,,,,,,,6.63,https://logo.clearbit.com/uol.com.sg,1.621508012,1.512625461
1,S58.SI,SATS Ltd.,2.91,0,0.00%,2632000,819659,Industrials,16700,"SATS Ltd., an investment holding company, provides gateway services and food solutions in Singapore, Japan, and internationally. It operates in three segments: Food Solutions, Gateway Services, and Others. The company offers food solutions, including inflight and institutional catering; chilled, frozen, and retort food manufacturing; hospitality; and airline linen and laundry services. It also provides airport and cruise terminal services, including ground and cargo handling, passenger and security, baggage handling, apron, and cargo logistics services. In addition, the company offers airport cargo delivery management, food processing and distribution, business development and marketing, product development, travel facilitation, abattoir, pig auctioning, land logistics, beverage, and remote catering services, as well as technical and management services for agriÂfood business. Further, it is involved in the management of international cruise terminals; manufacture and sale of frozen foodstuffs; preparation and sale of inflight meals, frozen foods, seafood, meat and rice products, and vegetables and fruits; manufacture and sale of dry ice and ice cubes; sale of refrigerant and packaging material; and provision of manpower to inflight catering operators, as well as premises rental, and housekeeping and other allied services. The company serves airline, hospitality, healthcare, food, and airfreight and logistics industries, as well as government. The company was formerly known as Singapore Airport Terminal Services Limited. SATS Ltd. was founded in 1972 and is based in Singapore.",Singapore,65 6542 5555,Singapore,http://www.sats.com.sg,1,20 Airport Boulevard,,Airports & Air Services,SATS Inflight Catering Centre 1,2.91,2.88,3.0725715,0.020618556,3.0645,,2.95,,2850887,,2.91,2.8805714,0.06,2.88,,2850887,,,,0.19,1574640000,0.72771,,,2.88,4,SGD,46.935486,2632000,,,,3256668416,,,5930628,1.9321675,2.88,2.92,,0,2632000,5.17,11.64,,3.79,2.52,2.91,FALSE,0.0653,0,2.95,SES,SATS,SATS Ltd.,Asia/Singapore,SGT,FALSE,28800000,EQUITY,S58.SI,finmb_2445833,sg_market,,2.066,,0.04153,13.78,-0.39999998,,0.25,,1119129984,,,1.411,,,,1585612800,0.58011,70000000,0.062,,0.11441445,2.0623672,0.00963,1648684800,1593475200,,,661304256,3482192384,,,,,,,,,,,,,,2.88,https://logo.clearbit.com/sats.com.sg,2.167835991,0.125484523
2,O39.SI,Oversea-Chinese Banking Corporation Limited,8.58,0,0.00%,2502500,49514,Financial Services,30605,"Oversea-Chinese Banking Corporation Limited provides financial services in Singapore, Malaysia, Indonesia, Greater China, other parts of the Asia Pacific, and internationally. The company's Global Consumer/Private Banking segment provides products and services to individual customers, including checking accounts, and savings and fixed deposits; housing and other personal loans; credit cards; wealth management products consisting of unit trusts, banc assurance products, and structured deposits; and brokerage services. This segment also offers investment advice and portfolio management, estate and trust planning, and wealth structuring services for high net worth individuals. Its Global Corporate/Investment Banking segment provides project financing, overdrafts, trade financing, and deposit accounts; fee-based services, such as cash management and custodian services; investment banking services, including financing solutions, syndicated loans and advisory services, corporate finance services for initial public offerings, secondary fund-raising, and takeovers and mergers; and customized and structured equity-linked financing services. This segment serves corporates, public sector, and small and medium enterprises. The company's Global Treasury and Markets segment is involved in the foreign exchange activities, money market operations, and fixed income and derivatives trading, as well as provision of structured treasury products and financial solutions. Its OCBC Wing Hang segment offers commercial banking, consumer financing, share brokerage, and insurance services. The company's Insurance segment provides fund management services, and life and general insurance products. Its Others segment is involved in property and investment holding activities. The company has approximately 540 branches and representative offices in 19 countries and regions. Oversea-Chinese Banking Corporation Limited was founded in 1912 and is headquartered in Singapore.",Singapore,65 6318 7222,Singapore,http://www.ocbc.com,1,No. 10-00 OCBC Centre East,65 6534 3986,Banks—Regional,63 Chulia Street,8.58,8.56,8.998,0.051165503,0.6092,,8.6,,4521462,,8.58,8.727715,0.439,8.56,,4521462,,,,0.32,1597968000,0.807831,,,8.53,2,SGD,9.942062,2502500,,,,37796532224,,,6462812,4.317838,8.53,8.58,,0,2502500,11.23,7.2100835,,3.92,7.8,8.57,FALSE,0.037100002,0,8.6,SES,OCBC Bank,Oversea-Chinese Banking Corporation Limited,Asia/Singapore,SGT,FALSE,28800000,EQUITY,O39.SI,finmb_1213993,sg_market,,0.798,,0.43905997,,-0.22563177,,1.19,,4405190144,,,10.87,,,,1577750400,0.16597,3784378880,0.863,,0.11441445,0.78932846,0.26916,1640908800,1593475200,,,3159791698,6988973056,,1123027200,2:01,,,-0.416,,,,,,,,8.56,https://logo.clearbit.com/ocbc.com,0.231722873,0.166106758
3,Y92.SI,Thai Beverage Public Company Limited,0.6,0,0.00%,27363300,10900,Consumer Defensive,,"Thai Beverage Public Company Limited, together with its subsidiaries, produces and distributes alcoholic and non-alcoholic beverages, and food products in Thailand, Vietnam, and internationally. The company operates through Spirits, Beer, Non-Alcoholic Beverages, and Food segments. It offers liquor, beer, malt, and yeast products; spirits, including brown spirits, white spirits, herbs, and other products; and non-alcoholic beverages comprising drinking and soda water, electrolyte beverages, energy drinks, green and herbal tea, ready-to-drink coffee, carbonated soft drinks, isotonics, soya drinks, Asian and sparkling drinks, coconut water, cordials, pasteurized milk, UHT milk, sterilized milk, yoghurt, canned milk, pasteurized juice, ready-to-drink juice, ice cream, and cereal bars. The company also provides chilled and frozen food products, and snack products, as well as canned food products; and fertilizers and feeds, bricks, and oak barrels. In addition, it is involved in the trading of molasses; provision of transportation and distribution, advertising and marketing, consultancy, asset and brands management, public cold storage, and human resources and organization development services; operation of Japanese restaurants, bakeries, and social enterprise; and production and distribution of biogas. Further, the company is involved in the trading of bottles and supplies; wholesale and distribution of beverages; and production of plastic packaging and related businesses. Additionally, it engages in asset management activities; development and investment in properties; mechanical equipment manufacturing; warehousing business; trading of chemical and packaging materials; manufacture of equipment used in food manufacturing; and installation and maintenance of machinery system and equipment. Thai Beverage Public Company Limited was founded in 2003 and is based in Bangkok, Thailand.",Bangkok,66 2 785 5555,Thailand,http://www.thaibev.com,1,14 Vibhavadi Rangsit Road,66 2 785 5882,Beverages—Wineries & Distilleries,Chomphon Sub-District Chatuchak District,0.6,0.595,0.66235715,0.02,0.5223,,0.605,,26518975,,0.6,0.61557144,0.012,0.595,,26518975,,,,0.02,1590537600,0.9,,,0.59,4,SGD,27.272728,27363300,,,,15069420544,,,36838249,,0.59,0.6,,0,27363300,0.93,15.000001,,2.88,0.49,0.595,FALSE,0.0319,0,0.605,SES,ThaiBev,Thai Beverage Public Company Limited,Asia/Singapore,SGT,FALSE,28800000,EQUITY,Y92.SI,finmb_27339980,sg_market,,,,0.08952,,-0.34782606,,0.04,,25115699200,,,0.146,,,,1569801600,0.07616,,0.022,,0.11441445,4.109589,0.71522003,1632960000,1585612800,,,7374474667,15069425664,,,,,,-0.145,,,,,,,,0.595,https://logo.clearbit.com/thaibev.com,1.52668657,0.850033059
4,S63.SI,Singapore Technologies Engineering Ltd,3.41,0,0.00%,2586100,567710,Industrials,23000,"Singapore Technologies Engineering Ltd, an investment holding company, operates as a technology, defense, and engineering company worldwide. The company's Aerospace segment offers aircraft maintenance, engineering, and training services for military and commercial aircraft operators. Its services include airframe, component, and engine maintenance, repair, and overhaul; aircraft design engineering and parts manufacturing; and aviation materials and asset management, as well as pilot training services. The company's Electronics segment engages in the design, development, and delivery of information communications technologies (ICT) products, solutions, and services for smart cities connectivity, mobility, and security. Its Land Systems segment offers customized land systems, security solutions, and their related through-life support for defense, homeland security, and commercial applications. The company's Marine segment offers defence and commercial solutions to the marine, offshore, and environmental engineering industries. This segment's services include shipbuilding, repair, and conversion, as well as environmental engineering services. Its Others segment is involved in the research and development activities; and provision of engineering products and solutions, and treasury services, as well as management, consultancy, and other support services. The company was incorporated in 1997 and is headquartered in Singapore.",Singapore,65 6722 1818,Singapore,http://www.stengg.com,1,"No. 07-01, ST Engineering Hub",,Aerospace & Defense,1 Ang Mo Kio Electronics Park Road,3.41,3.4,3.3856428,0.04398827,0.831,,3.44,,3309425,,3.41,3.3682857,0.15,3.4,,3309425,,,,0.15,1597968000,0.738554,,,3.38,4,SGD,18.83978,2586100,,,,10635005952,,,5211682,1.3413059,3.38,3.42,,0,2586100,4.42,17.947369,,3.79,2.78,3.41,FALSE,0.044,0,3.44,SES,ST Engineering,Singapore Technologies Engineering Ltd,Asia/Singapore,SGT,FALSE,28800000,EQUITY,S63.SI,finmb_782401,sg_market,,1.56,,0.0714,12.802,-0.13451773,,0.19,,3118769920,,,0.715,,,,1577750400,0.67581004,566108992,0.181,,0.11441445,4.769231,0.0127,1640908800,1593475200,,,1508109241,12365092864,,,,,,-0.068,,,,,,,,3.4,https://logo.clearbit.com/stengg.com,1.266207842,0.220552165
5,A17U.SI,Ascendas Real Estate Investment Trust,3.27,0,0.00%,7085000,138522,Real Estate,,"Ascendas Real Estate Investment Trust (Ascendas Reit) is Singapore's first and largest listed business space and industrial real estate investment trust. It was listed on the Singapore Exchange Securities Trading Limited (SGX-ST) in November 2002. As at 30 June 2020, investment properties under management stands at S$12.75 billion, comprising 197 properties across the developed markets of Singapore, Australia, the United Kingdom and the United States. Ascendas Reit's portfolio includes business and science parks, suburban office properties, high-specifications industrial properties, light industrial properties, logistics and distribution centres, and integrated developments, amenities and retail properties. These properties house a tenant base of more than 1,460 international and local companies from a wide range of industries and activities, including research and development, life sciences, information technology, engineering, light manufacturing, logistics service providers, electronics, telecommunications, manufacturing services and back-room office support in service industries. Major tenants include Singtel, DSO National Laboratories, Citibank, DBS, CareFusion, Wesfarmers, JPMorgan and A*STAR Research Entities. Ascendas Reit is listed in several indices. These include the FTSE Straits Times Index, the Morgan Stanley Capital International, Inc (MSCI) Index, the European Public Real Estate Association/National Association of Real Estate Investment Trusts (EPRA/NAREIT) Global Real Estate Index and Global Property Research (GPR) Asia 250. Ascendas Reit has an issuer rating of ÂA3' by Moody's Investors Service. Ascendas Reit is managed by Ascendas Funds Management (S) Limited, a wholly owned subsidiary of Singapore-listed CapitaLand Limited, one of Asia's largest diversified real estate groups.",Singapore,65 6774 1033,Singapore,http://www.ascendas-reit.com,1,1 Fusionopolis Place,65 6775 2813,REIT—Industrial,No. 10-10 Galaxis,3.27,3.24,3.119643,0.04342508,0.5252,,3.28,,7872400,,3.27,3.403143,0.142,3.24,,7872400,,,,0.15,1596067200,0.35927,,,3.23,4,SGD,22.708334,7085000,,,,11838184448,,,11458056,11.819933,3.23,3.27,,0,7085000,3.65,19.235294,,5.6,2.22,3.26,FALSE,0.044499997,0,3.28,SES,Ascendas Reit,Ascendas Real Estate Investment Trust,Asia/Singapore,SGT,FALSE,28800000,EQUITY,A17U.SI,finmb_8101236,sg_market,,16.964,,0.51362,,0.07472813,,0.17,,3620239872,,,2.281,,,,1577750400,0.51077,500060544,0.144,,0.11441445,1.4335818,0.04375,1640908800,1593475200,,,2928228995,16990608384,,,,,,-0.01,,,,,,,,3.24,https://logo.clearbit.com/ascendas-reit.com,0.088909824,28.14266668
6,U11.SI,United Overseas Bank Limited,19.4,0.01,0.05%,1743900,48624,Financial Services,26495,"United Overseas Bank Limited, together with its subsidiaries, provides banking products and services. The company's Group Retail segment provides deposits, insurance, card, wealth management, investment, and loan and trade financing products for personal and small enterprise customers. Its Group Wholesale Banking segment provides financing, trade services, cash management, capital markets solutions, and advisory and treasury products for medium and large enterprises, local corporations, multi-national corporations, financial institutions, government-linked entities, and financial sponsors. The company's Global Markets segment offers foreign exchange, interest rate, credit, commodities, equities, and structured investment products; and manages funding and liquidity. Its Other segment provides investment management, property, and insurance services. The company also provides mobile and internet banking services. The company operates through a network of approximately 500 branches, including wealth and privilege banking centres, private bank suites, business and commercial banking centres, and offices in 19 countries and territories in the Asia Pacific, Europe, and North America; and 1.3 million automated teller machines. It also provides management consultancy services, as well as technical support, development and implementation of software, and other data processing services. The company was formerly known as United Chinese Bank and changed its name to United Overseas Bank Limited in 1965. United Overseas Bank Limited was founded in 1935 and is headquartered in Singapore.",Singapore,65 6222 2121,Singapore,http://www.uobgroup.com,1,UOB Plaza,65 6534 2334,Banks—Regional,80 Raffles Place,19.39,19.25,20.386642,0.0484786,0.6286,,19.48,,3021537,,19.39,19.702572,0.94,19.25,,3021537,,,,0.94,1598400000,0.990361,,,19.24,2,SGD,9.035864,1743900,,,,32387135488,,,3140792,3.7081597,19.24,19.4,,0,1743900,27.02,7.4903474,,3.76,17.28,19.39,FALSE,0.048499998,0,19.48,SES,UOB,United Overseas Bank Limited,Asia/Singapore,SGT,FALSE,28800000,EQUITY,U11.SI,finmb_413891,sg_market,,-2,,0.42161,,-0.26347762,,2.59,,1669440000,,,24.009,,,,1577750400,0.26767,3584955904,2.147,,0.11441445,0.8080303,0.19197,1640908800,1593475200,,,1039944259,-17468864512,,,,,,-0.398,,,,,,,,19.25,https://logo.clearbit.com/uobgroup.com,0.267454254,0.150467117
7,S68.SI,Singapore Exchange Limited,8.51,-0.01,-0.12%,1806600,68804,Financial Services,846,"Singapore Exchange Limited, together with its subsidiaries, operates an integrated securities exchange and derivatives exchange, and related clearing houses in Singapore.  The company's Fixed Income, Currencies, and Commodities segment offers fixed income issuer, trading and clearing, and collateral management services. Its Equities segment provides issuer, securities trading and clearing, securities settlement and depository management, derivatives trading and clearing, and collateral management services. The company's Data, Connectivity, and Indices segment offers market data, connectivity, and indices services. It also provides counterparty guarantee, and depository and related services for securities and derivatives transactions; bond trading services; front-line regulatory functions; computer and software maintenance; and management consultancy services for index activities. In addition, the company offers membership and management services to related corporations; distributes bulk freight market indices and information; and operates an electricity market, as well as provides administration services for index calculation, risk analyses, and financial research. The company was incorporated in 1999 and is headquartered in Singapore.",Singapore,65 6236 8888,Singapore,http://www.sgx.com,1,"No. 02-02, SGX Centre 1",65 6535 6994,Financial Data & Stock Exchanges,2 Shenton Way,8.52,8.49,8.834857,0.03579812,0.6834,,8.53,,2244325,,8.52,8.584572,0.305,8.49,,2244325,,,,0.32,1601510400,0.363253,,,8.48,2,SGD,19.384966,1806600,,,,9097019392,,,3426390,8.6416235,8.48,8.52,,0,1806600,10.72,23,,3.94,7.96,8.51,FALSE,0.0376,0,8.53,SES,SGX,Singapore Exchange Limited,Asia/Singapore,SGT,FALSE,28800000,EQUITY,S68.SI,finmb_2445989,sg_market,,8.111,,0.44819,14.409,-0.002344608,,0.37,,1068979968,,,1.165,,,,1593475200,0.18131,471815008,0.439,,0.11441445,7.3047214,0.23566,1656547200,1593475200,,,815759148,8538235904,,,,,,0.165,,,,,,,,8.49,https://logo.clearbit.com/sgx.com,1.656615601,
8,D05.SI,DBS Group Holdings Ltd,20.51,-0.03,-0.15%,2986800,18982,Financial Services,28984,"DBS Group Holdings Ltd provides financial products and services in Singapore, Hong Kong, rest of Greater China, South and Southeast Asia, and internationally. It operates through Consumer Banking/Wealth Management, Institutional Banking, Treasury Markets, and Others segments. The Consumer Banking/Wealth Management segment offers banking and related financial services, including current and savings accounts, fixed deposits, loans and home finance, cards, payments, investment, and insurance products for individual customers. The Institutional Banking segment provides financial services and products for bank and non-bank financial institutions, government-linked companies, large corporates, and small and medium sized businesses. Its products and services comprise short-term working capital financing and specialized lending; cash management, trade finance, and securities and fiduciary services; treasury and markets products; and corporate finance and advisory banking, as well as capital markets solutions. The Treasury Markets segment is involved in structuring, market-making, and trading in a range of treasury products. The Others segment offers Islamic banking services. DBS Group Holdings Ltd was founded in 1968 and is headquartered in Singapore.",Singapore,65 6878 8888,Singapore,http://www.dbs.com,1,12 Marina Boulevard,,Banks—Regional,DBS Asia Central @ Marina Bay Financial Centre Tower 3,20.54,20.4,20.457571,0.055501457,0.7,,20.59,,3623782,,20.54,20.592001,1.14,20.4,,3623782,,,,1.44,1597363200,1.148192,,,20.4,2,SGD,9.584112,2986800,,,,52077559808,,,4884298,4.092539,20.4,20.52,,0,2986800,26.8,8.3714285,,4.29,16.65,20.5,FALSE,0.0701,0,20.59,SES,DBS,DBS Group Holdings Ltd,Asia/Singapore,SGT,FALSE,28800000,EQUITY,D05.SI,finmb_874047,sg_market,,8.877,,0.43607,,-0.19473886,,2.45,,2539130112,,,21.046,,,,1577750400,0.5351,5456999936,2.14,,0.11441445,0.974532,0.00552,1640908800,1593475200,,,1786260386,1.13E+11,,,,,,-0.222,,,,,,,,20.4,https://logo.clearbit.com/dbs.com,0.267809872,0.319572643
9,J36.SI,Jardine Matheson Holdings Limited,39.2,-0.1,-0.25%,196000,,Industrials,464000,"Jardine Matheson Holdings Limited, through its subsidiaries, engages in the motor vehicles and related operations, property investment and development, food retailing, home furnishings, engineering and construction, and transportation businesses. It is also involved in the insurance brokerage, financial services, heavy equipment, mining, and agribusinesses. The company offers ground handling, and aviation and travel agency services; and engineering, sourcing, and contracting services, as well as owns and operates air cargo terminals, and invests in residential properties. It is also involved in the Pizza Hut and KFC restaurants operations; designing, engineering, installation, maintenance, and modernization of lifts, escalators, and moving walkways; corporate travel management; and provision of ticketing services to other travel agents, and technology and consultancy solutions. In addition, the company sells and services motor vehicles; invests in, owns, develops, and manages office and retail properties; operates outlets, including supermarkets, hypermarkets, convenience stores, health and beauty stores, home furnishings stores, and restaurants; invests in and manages a portfolio of deluxe and first class hotels, resorts, and residences; and provides automobile and motorcycle products. Further, it engages in the motor dealerships, financing, dairy, and cement businesses. Additionally, the company is involved in automotive, financial, construction, energy, infrastructure, logistics, and information technology businesses. It operates in Greater China, Southeast Asia, the United Kingdom, and internationally. The company was founded in 1832 and is based in Hamilton, Bermuda. Jardine Matheson Holdings Limited is a subsidiary of Jardine Strategic Holdings Limited.",Hamilton,,Bermuda,http://www.jardines.com,1,Jardine House,,Conglomerates,4th Floor 33-35 Reid Street,39.3,39.38,44.568142,0.043765906,,,39.39,,190100,,39.3,40.555714,1.72,39.38,,190100,,,,0.88,1597881600,0.287349,,,38.62,2,USD,,196000,,,,45490425856,,,419704,1.241009,38.62,39.23,,0,196000,59.68,7.903226,,2.74,37.37,38.95,FALSE,0.0224,0,39.39,SES,JMH USD,Jardine Matheson Holdings Limited,Asia/Singapore,SGT,FALSE,28800000,EQUITY,J36.SI,finmb_873710,sg_market,,1.656,,-0.00521,14.068,-0.30211854,,4.96,,727844992,,,77.768,,,,1577750400,0.09864,-191000000,-0.517,,0.11441445,0.50406337,0.67493,1640908800,1593475200,,,249323130,60710199296,,,,,,,,,,,,,,39.38,https://logo.clearbit.com/jardines.com,1.347223258,0.501023626
