index,Symbol,Company name,Last price,Change,% change,Volume,zip,sector,longBusinessSummary,city,phone,country,website,maxAge,address1,fax,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url,fullTimeEmployees,Current Ratio,Debt to Current Asset
0,O39.SI,Oversea-Chinese Banking Corporation Limited,8.5,0.0,0.00%,6215500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A17U.SI,Ascendas Real Estate Investment Trust,3.28,0.0,0.00%,20758900,138522,Real Estate,"Ascendas Real Estate Investment Trust (Ascendas Reit) is Singapore's first and largest listed business space and industrial real estate investment trust. It was listed on the Singapore Exchange Securities Trading Limited (SGX-ST) in November 2002. As at 30 June 2020, investment properties under management stands at S$12.75 billion, comprising 197 properties across the developed markets of Singapore, Australia, the United Kingdom and the United States. Ascendas Reit's portfolio includes business and science parks, suburban office properties, high-specifications industrial properties, light industrial properties, logistics and distribution centres, and integrated developments, amenities and retail properties. These properties house a tenant base of more than 1,460 international and local companies from a wide range of industries and activities, including research and development, life sciences, information technology, engineering, light manufacturing, logistics service providers, electronics, telecommunications, manufacturing services and back-room office support in service industries. Major tenants include Singtel, DSO National Laboratories, Citibank, DBS, CareFusion, Wesfarmers, JPMorgan and A*STAR Research Entities. Ascendas Reit is listed in several indices. These include the FTSE Straits Times Index, the Morgan Stanley Capital International, Inc (MSCI) Index, the European Public Real Estate Association/National Association of Real Estate Investment Trusts (EPRA/NAREIT) Global Real Estate Index and Global Property Research (GPR) Asia 250. Ascendas Reit has an issuer rating of ÂA3' by Moody's Investors Service. Ascendas Reit is managed by Ascendas Funds Management (S) Limited, a wholly owned subsidiary of Singapore-listed CapitaLand Limited, one of Asia's largest diversified real estate groups.",Singapore,65 6774 1033,Singapore,http://www.ascendas-reit.com,1.0,1 Fusionopolis Place,65 6775 2813,REIT—Industrial,No. 10-10 Galaxis,3.28,3.29,3.1208572,0.043292686,0.5252,,3.29,,12892150.0,,3.28,3.3691428,0.142,3.29,,12892150.0,,,,0.15,1596067200.0,0.35927,,,3.25,4.0,SGD,22.777779,20758900.0,,,,11874386944.0,,,11760251.0,11.85608,3.25,3.28,,0.0,20758900.0,3.65,19.294117,,5.6,2.22,3.27,False,0.045300003,0.0,3.29,SES,Ascendas Reit,Ascendas Real Estate Investment Trust,Asia/Singapore,SGT,False,28800000,EQUITY,A17U.SI,finmb_8101236,sg_market,,16.964,,0.51362,,0.07112527,,0.17,,3620239872.0,,,2.281,,,,1577750400.0,0.51077,500060544.0,0.144,,0.121969104,1.4379659,0.04375,1640908800.0,1593475200.0,,,2928228995.0,16990608384.0,,,,,,-0.01,,,,,,,,3.29,https://logo.clearbit.com/ascendas-reit.com,,,
2,G13.SI,Genting Singapore Limited,0.69,0.0,0.00%,23078700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.,1.0,0.0,0.00%,15610800,214532,Industrials,"Yangzijiang Shipbuilding (Holdings) Ltd., an investment holding company, operates in the shipbuilding activities in the People's Republic of China, Taiwan, Germany, Greece, Norway, Canada, Korea, Bahamas, other Asian and European countries, and internationally. The company operates through Shipbuilding, Investments, Trading, and Others segments. It produces a range of commercial vessels, such as containerships, dry bulk carriers, oil tankers, and liquefied natural gas (LNG) carriers. The company also engages in the production and processing of steel structures. In addition, it facilitates the sale and export of ships for the ship builder; trades in ship related equipment and shipbuilding related materials/supplies; provides microcredit to enterprises and individuals; and supplies marine equipment and materials, as well as engages in debt and other investment activities. Further, the company is involved in the ship demolition and vessel owning activities. The company was founded in 1956 and is based in Jingjiang, China.",Jingjiang,86 523 8466 0022,China,http://www.yzjship.com,1.0,Jiangyin-Jingjiang Industry Zone,86 523 8466 3000,Aerospace & Defense,1# Lianyi Road,1.0,1.0,0.93489283,0.233,0.3527,,1.0,,22653700.0,,1.0,0.9415714,0.233,1.0,,22653700.0,,,,0.04,1589328000.0,1.23012,,,0.985,4.0,SGD,1.55521,15610800.0,,,,3918769920.0,,,15001437.0,,0.985,1.0,,0.0,15610800.0,1.2,7.142857,,4.36,0.73,0.995,False,0.0452,0.0,1.0,SES,YZJ Shipbldg SGD,Yangzijiang Shipbuilding (Holdings) Ltd.,Asia/Singapore,SGT,False,28800000,EQUITY,BS6.SI,finmb_33774691,sg_market,,,,0.13606,,0.0,,0.14,,3918769920.0,,,8.015,,,,1577750400.0,0.15988,,0.643,,0.121969104,0.12476606,0.40794,1640908800.0,1593475200.0,,,2332527303.0,3801202176.0,,,,,,-0.174,,,,,,,,1.0,https://logo.clearbit.com/yzjship.com,,,
4,U11.SI,United Overseas Bank Limited,19.21,0.01,+0.05%,2835300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D05.SI,DBS Group Holdings Ltd,20.05,0.03,+0.15%,5606000,018982,Financial Services,"DBS Group Holdings Ltd provides financial products and services in Singapore, Hong Kong, rest of Greater China, South and Southeast Asia, and internationally. It operates through Consumer Banking/Wealth Management, Institutional Banking, Treasury Markets, and Others segments. The Consumer Banking/Wealth Management segment offers banking and related financial services, including current and savings accounts, fixed deposits, loans and home finance, cards, payments, investment, and insurance products for individual customers. The Institutional Banking segment provides financial services and products for bank and non-bank financial institutions, government-linked companies, large corporates, and small and medium sized businesses. Its products and services comprise short-term working capital financing and specialized lending; cash management, trade finance, and securities and fiduciary services; treasury and markets products; and corporate finance and advisory banking, as well as capital markets solutions. The Treasury Markets segment is involved in structuring, market-making, and trading in a range of treasury products. The Others segment offers Islamic banking services. DBS Group Holdings Ltd was founded in 1968 and is headquartered in Singapore.",Singapore,65 6878 8888,Singapore,http://www.dbs.com,1.0,12 Marina Boulevard,,Banks—Regional,DBS Asia Central @ Marina Bay Financial Centre Tower 3,20.02,20.14,20.333286,0.056943055,0.7,,20.15,,4029531.0,,20.02,20.563429,1.14,20.14,,4029531.0,,,,1.44,1597363200.0,1.148192,,,19.97,2.0,SGD,9.369158,5606000.0,,,,50909556736.0,,,4645192.0,4.000751,19.97,20.06,,0.0,5606000.0,26.8,8.183673,,4.29,16.65,20.05,False,0.071,0.0,20.15,SES,DBS,DBS Group Holdings Ltd,Asia/Singapore,SGT,False,28800000,EQUITY,D05.SI,finmb_874047,sg_market,,8.877,,0.43607,,-0.2039761,,2.45,,2539130112.0,,,21.046,,,,1577750400.0,0.5351,5456999936.0,2.14,,0.121969104,0.9526751,0.0055199997,1640908800.0,1593475200.0,,,1786260386.0,112959307776.0,,,,,,-0.222,,,,,,,,20.14,https://logo.clearbit.com/dbs.com,28984.0,,
6,J37.SI,Jardine Strategic Holdings Limited,20.65,-0.05,-0.24%,653400,,Industrials,"Jardine Strategic Holdings Limited, through its subsidiaries, engages in the engineering and construction, transport services, and insurance broking businesses in Greater China, Southeast Asia, the United Kingdom, and internationally. It is also involved in the property investment and development, food retailing, restaurants, hotels, motor vehicles and related activities, financial services, heavy equipment, mining, and agribusinesses. The company invests in, develops, leases, and manages commercial and residential properties. In addition, it operates supermarkets, hypermarkets, convenience stores, health and beauty stores, home furnishings stores, and restaurants; and 33 hotels and seven residences in 23 countries and territories. Further, the company is involved in motor trading, dairy, construction and energy, information technology, cement production, and infrastructure and logistics businesses. The company is based in Hamilton, Bermuda. Jardine Strategic Holdings Limited is a subsidiary of Jardine Matheson Holdings Limited.",Hamilton,,Bermuda,http://www.jardines.com/en/companies/companies.html,1.0,Jardine House,,Conglomerates,33-35 Reid Street,20.7,20.97,21.559143,0.017149758,,,20.97,,251137.0,,20.7,20.154858,0.355,20.97,,251137.0,,,,0.21,1597881600.0,0.752409,,,20.26,2.0,USD,,653400.0,,,,38044733440.0,,,320976.0,1.2934226,20.26,20.66,,0.0,653400.0,33.5,6.109467,,,17.81,20.62,False,0.010199999,0.0,20.97,SES,JSH USD,Jardine Strategic Holdings Limited,Asia/Singapore,SGT,False,28800000,EQUITY,J37.SI,finmb_408350,sg_market,,1.78,,-0.01496,11.048,-0.34659088,,3.38,,1108310016.0,,,61.438,,,,1577750400.0,0.07011,-440000000.0,-0.787,,0.121969104,0.3361112,0.84232,1640908800.0,1593475200.0,,,167232800.0,52352200704.0,,,,,,,,,,,,,,20.97,https://logo.clearbit.com/jardines.com,,,
7,F34.SI,Wilmar International Limited,4.37,0.02,+0.46%,15378800,088830,Consumer Defensive,"Wilmar International Limited operates as an agribusiness company in Singapore and internationally. The company operates through four segments: Tropical Oils, Oilseeds and Grains, Sugar, and Others. It engages in the oil palm cultivation, harvesting, and milling activities that primarily offer crude palm oil and palm kernel. As of December 31, 2019, the company owned an oil palm plantation covering an area of 232,940 hectares in Indonesia, East Malaysia, and Africa. It is also involved in processing, merchandising, branding, and distributing palm oil and laurics related products, including oleochemicals, specialty fats, and biodiesel; and oilseed products, such as soybean, rapeseed, groundnut, sunflower seed, sesame seed, cottonseed, corn, and rice bran oil products. In addition, the company produces and markets edible oil, rice, flour, grains, sauces, condiments, and noodles to traditional retail outlets, supermarkets, convenience stores, and hypermarts. Further, it engages in milling, refining, merchandising, branding, and distributing white sugar, brown sugar, caster sugar, and syrups, as well as molasses; the generation, distribution, and sale of electricity; the manufacture and sale of bioethanol, as well as nitrogen, phosphorus, and potassium compound fertilizers; and the distribution of chemicals, as well as in ship-owning, chartering, brokering, and management activities. Additionally, it offers agriculture and technical services; and management consulting services. Wilmar International Limited was founded in 1991 and is headquartered in Singapore.",Singapore,65 6216 0244,Singapore,http://www.wilmar-international.com,1.0,56 Neil Road,,Farm Products,,4.35,4.38,3.952357,0.022758622,0.3973,,4.42,,13886912.0,,4.35,4.5057144,0.099,4.38,,13886912.0,,,,0.14,1597708800.0,0.894578,,,4.32,4.0,SGD,18.595745,15378800.0,,,,27783235584.0,,,13929095.0,0.6164229,4.32,4.38,,0.0,15378800.0,4.95,21.849998,,2.62,2.83,4.39,False,0.031,0.0,4.42,SES,Wilmar Intl,Wilmar International Limited,Asia/Singapore,SGT,False,28800000,EQUITY,F34.SI,finmb_5467851,sg_market,,1.064,,0.0332,15.856,0.16310155,,0.2,,6357720064.0,,,2.593,,,,1577750400.0,0.06274,1438585984.0,0.235,,0.121969104,1.6853065,0.71161,1640908800.0,1593475200.0,,,1963666429.0,47975436288.0,,,,,,1.024,,,,,,,,4.38,https://logo.clearbit.com/wilmar-international.com,90000.0,,
8,M44U.SI,Mapletree Logistics Trust,2.05,-0.01,-0.49%,22218759,049320,Real Estate,"MLT, the first Asia-focused logistics REIT in Singapore, was listed on the SGX-ST main board on 28 July 2005. MLT's principal strategy is to invest in a diversified portfolio of income-producing logistics real estate and real estate-related assets. As at 31 March 2020, it has a portfolio of 145 logistics assets in Singapore, Hong Kong SAR, Japan, Australia, China, Malaysia, South Korea and Vietnam with assets under management of S$8.9 billion. MLT is managed by Mapletree Logistics Trust Management Ltd., a wholly-owned subsidiary of Mapletree Investments Pte Ltd.",Singapore,,Singapore,http://www.mapletreelogisticstrust.com,1.0,No. 10-02 HSBC Building,,REIT—Industrial,21 Collyer Quay,2.06,2.06,1.8914286,0.039805826,0.8241,,2.08,,8587662.0,,2.06,2.0845714,0.082,2.06,,8587662.0,,,,0.08,1595808000.0,0.748192,,,2.05,4.0,SGD,20.70707,22218759.0,,,,7812509184.0,,,12161839.0,15.351969,2.05,2.06,,0.0,22218759.0,2.21,25.625,,5.48,1.2,2.05,False,0.0397,0.0,2.08,SES,Mapletree Log Tr,Mapletree Logistics Trust,Asia/Singapore,SGT,False,28800000,EQUITY,M44U.SI,finmb_23019645,sg_market,,21.869,,0.75953,27.911,0.2638036,,0.08,,3810980096.0,,,1.318,,,,1585612800.0,0.50086,369452000.0,0.099,,0.121969104,1.555387,0.0057099997,1648684800.0,1593475200.0,,,2625481638.0,11129097216.0,,,,,,-0.094,,,,,,,,2.06,https://logo.clearbit.com/mapletreelogisticstrust.com,,,
9,C09.SI,City Developments Limited,8.09,0.04,+0.50%,3525200,048619,Real Estate,"City Developments Limited (CDL) is a leading global real estate operating company with a network spanning 103 locations in 29 countries and regions. Listed on the Singapore Exchange, the Group is one of the largest companies by market capitalisation. Its income-stable and geographically-diverse portfolio comprises residences, offices, hotels, serviced apartments, integrated developments and shopping malls. With a proven track record of over 55 years in real estate development, investment and management, CDL has developed over 43,000 homes and owns over 18 million square feet of lettable floor area globally. Its diversified global land bank offers 4.1 million square feet of developable gross floor area. The Group's London-based hotel arm, Millennium & Copthorne Hotels (M&C), is one of the world's largest hotel chains, with over 145 hotels worldwide, many in key gateway cities. Leveraging its deep expertise in developing and managing a diversified asset base, the Group is focused on enhancing the performance of its portfolio and strengthening its recurring income streams to deliver long-term sustainable value to shareholders. The Group is also developing a fund management business and targets to achieve US$5 billion in Assets Under Management (AUM) by 2023.",Singapore,65 687 78228,Singapore,http://www.cdl.com.sg,1.0,9 Raffles Place,65 622 32746,Real Estate—Development,Suite 12-01 Republic Plaza,8.05,8.15,8.093785,0.009937888,0.38279998,,8.18,,1304600.0,,8.05,8.086,0.08,8.15,,1304600.0,,,,0.08,1593734400.0,1.342771,,,8.0,2.0,SGD,37.98122,3525200.0,,,,7373331456.0,,,1735785.0,2.5380638,8.0,8.03,,0.0,3525200.0,11.51,12.640626,,,6.11,8.08,False,0.01,0.0,8.18,SES,CityDev,City Developments Limited,Asia/Singapore,SGT,False,28800000,EQUITY,C09.SI,finmb_410611,sg_market,,5.573,,0.07083,29.392,-0.18439716,,0.64,,906900992.0,,,11.657,,,,1577750400.0,0.18528,192872992.0,0.213,,0.121969104,0.69400364,0.57232,1640908800.0,1593475200.0,,,391264441.0,16190249984.0,,,,,,-0.99,,,,,,,,8.15,https://logo.clearbit.com/cdl.com.sg,15000.0,,
