Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",9/8/76,66740,1902,55144-1000,Industrials,96000.0,"3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers personal safety products, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules to industrial, electrical, and safety markets. The Transportation and Electronics provides electronics, such as display materials and systems, electronic materials solutions; automotive and aerospace, and commercial solutions; advanced materials; and transportation safety products to transportation and electronic original equipment manufacturer customers. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care, separation and purification sciences, health information systems, drug delivery systems, and food safety products to healthcare industry. The Consumer segment provides home improvement, home care, and consumer health care products, as well as stationery and office supplies to various consumers. This segment is also involved in the retail auto care business. It offers its products through various e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company has a strategic collaboration with Merry Maids in residential cleaning sector. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.",St. Paul,651-733-1110,MN,United States,,http://www.3m.com,1.0,3M Center,,Specialty Industrial Machinery,165.77,165.58,151.97906,0.035108887000000005,0.66059995,,165.63,,3294840.0,,165.77,160.83371,5.82,165.58,,3294840.0,,,,5.88,1597968000.0,0.974358,,,161.8801,2.0,USD,18.514694,2757140.0,,,,93989019648.0,,,2706043.0,2.997768,161.8801,164.5,,800.0,2757140.0,182.55,18.13,,2.76,114.04,162.07,False,0.0355,800.0,165.63,NYQ,3M Company,3M Company,America/New_York,EDT,False,-14400000.0,EQUITY,MMM,finmb_289194,us_market,,3.547,,0.16375,13.156,-0.018299162,,9.0,,576019008.0,,,18.848,6679060.0,0.0116,,1577750400.0,0.69952005,5134000128.0,8.812999999999997,,0.15022206,8.657152,0.00182,1640908800.0,1593475200.0,2.36,1594771200.0,575351259.0,111198000000.0,,1064880000.0,2:01,,,0.145,1597363200.0,9.07,,0.0116,6501099.0,,,165.58,https://logo.clearbit.com/3m.com,,,,,
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",31/3/64,1800,1888,60064-6400,Healthcare,107000.0,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. Its Established Pharmaceutical Products segment offers generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency; irritable bowel syndrome or biliary spasm; intrahepatic cholestasis or depressive symptom; gynecological disorder; hormone replacement therapy; dyslipidemia; hypertension; hypothyroidism; MÃ©niÃ¨re's disease and vestibular vertigo; pain, fever, and inflammation; migraine; and anti-infective clarithromycin, as well as provides influenza vaccines and products that regulate physiological rhythm of the colon. The company's Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automates the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detects and measures infectious agents; cartridges for blood analysis; rapid diagnostics systems; molecular point-of-care testing for HIV, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test systems, as well as remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. Its Nutritional Products segment provides pediatric and adult nutritional products. The company's Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases, as well as neuromodulation devices for the management of chronic pain and movement disorders. This segment also provides glucose and blood glucose monitoring systems. Abbott Laboratories has an agreement with Tandem Diabetes Care to develop and commercialize integrated diabetes solutions. The company was founded in 1888 and is headquartered in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,,http://www.abbott.com,1.0,100 Abbott Park Road,,Medical Devices,104.16,103.17,91.12768,0.01344086,0.7907,,103.8164,,6375900.0,,104.16,102.25143,1.4,103.17,,6375900.0,,,,1.44,1594684800.0,0.952062,,,102.43,2.0,USD,59.410744,4977903.0,,,,182081000000.0,,,5500681.0,5.790653,102.43,102.4,,800.0,4977903.0,114.2,25.455444,,1.92,61.61,102.9,False,0.0138,800.0,103.8164,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EDT,False,-14400000.0,EQUITY,ABT,finmb_247483,us_market,,6.337999999999999,,0.098900005,26.339,0.25177264,,4.04,,1770530048.0,,,17.271,10088844.0,0.0057,,1577750400.0,0.77178,3072999936.0,1.731,,0.15022206,5.95449,0.007259999999999998,1640908800.0,1593475200.0,2.28,1594771200.0,1756985445.0,199280000000.0,,1357084800.0,10000:4798,,,-0.466,1597363200.0,2.12,,0.0058,10168761.0,,,103.17,https://logo.clearbit.com/abbott.com,Abbott Park,,,,
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/12,1551152,2013 (1888),60064,Healthcare,47000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the United States, Japan, Germany, Canada, France, Spain, Italy, the Netherlands, the United Kingdom, Brazil, and internationally. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; VIEKIRA PAK, an interferon-free therapy to treat adults with genotype 1 chronic hepatitis C virus (HCV); TECHNIVIE to treat adults with genotype 4 HCV infection; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides SYNAGIS that protects at-risk infants from severe respiratory disease; KALETRA, a prescription anti-HIV-1 medicine; CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; and Lupron, a product for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; and Sevoflurane, an anesthesia product. It has collaborations with Calico Life Sciences LLC; Alector, Inc.; Janssen Biotech, Inc.; Jacobio Pharmaceuticals; I-Mab; and Genmab A/S. The company was incorporated in 2012 and is based in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,,http://www.abbvie.com,1.0,1 North Waukegan Road,,Drug Manufacturers—General,91.87,91.52,89.29942,0.0501796,0.9847,,91.86,,10651200.0,,91.87,95.03257,4.61,91.52,,10651200.0,,,,4.72,1594684800.0,0.7168329999999999,,,89.45,2.0,USD,19.94694,7937377.0,,,,159223000000.0,,,7239117.0,4.395146400000002,89.45,90.7,,1100.0,7937377.0,101.28,7.450042,,4.02,62.55,90.02,False,0.0514,800.0,91.86,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EDT,False,-14400000.0,EQUITY,ABBV,finmb_141885706,us_market,,6.724,,0.19204001,14.561,0.34746265,,12.11,,1764829952.0,,,8.337,12410255.0,0.006999999999999999,,1577750400.0,0.76761,6905999872.0,4.523,,0.15022206,10.821639,0.00111,1640908800.0,1593475200.0,1.9,1594771200.0,1762362479.0,243584000000.0,,,,,,,1597363200.0,1.06,,0.006999999999999999,13683834.0,,,91.52,https://logo.clearbit.com/abbvie.com,,,,,
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",31/5/18,815094,1981,1923,Healthcare,1536.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5 catheter, a percutaneous micro heart pump with integrated motor and sensors for use in interventional cardiology; and Impella CP, a device used by interventional cardiologists to support patients in the cath lab and cardiac surgeons in the heart surgery suite. It also provides Impella 5.0 and Impella LD, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; and Impella Connect, a cloud-based technology that enables secure, cloud-based, and remote viewing of the Automated Impella Controller for physicians and hospital staffs. In addition, the company engages in the development of Impella XR Sheath, a sheath designed to expand and recoil to all for ease of use upon insertion of an Impella heart pump and minimize the size of the arteriotomy; Impella BTR, a percutaneous micro heart pumps with integrated motors and sensors; and Impella ECP pump that is designed for blood flow of greater than three liters per minute. It sells its products through direct sales and clinical support personnel in the United States, Canada, Europe, and Asia. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,,http://www.abiomed.com,1.0,22 Cherry Hill Drive,978 777 8411,Medical Devices,275.89,269.79,222.24812000000003,,0.0,,275.25,,386040.0,,275.89,303.53287,,269.79,,386040.0,,,,,,1.142697,,,261.79,2.0,USD,77.22142,392778.0,,,,12081235968.0,,,368523.0,15.138123,261.79,275.0,,800.0,392778.0,319.19,50.697544,,,119.01,250.0,False,,900.0,275.25,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EDT,False,-14400000.0,EQUITY,ABMD,finmb_247589,us_market,,14.618,,0.19882,47.64100000000001,0.43827546,,5.29,,45047300.0,,,24.461,2177212.0,0.048299998,,1585612800.0,1.0137,158674000.0,3.4730000000000003,,0.15022206,10.963984,0.020350002,1648684800.0,1593475200.0,6.37,1594771200.0,44039555.0,11665979392.0,,970444800.0,2:01,,,-0.499,1597363200.0,2.6,,0.0555,2432614.0,,,269.79,https://logo.clearbit.com/abiomed.com,,,,,
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",6/7/11,1467373,1989,2,Technology,513000.0,"Accenture plc provides consulting, technology, and outsourcing services worldwide. Its Communications, Media & Technology segment provides professional services for clients to accelerate and deliver digital transformation, develop industry-specific solutions, and enhance efficiencies and business results for communications, media, high tech, software, and platform companies. The company's Financial Services segment offers services for profitability pressures, industry consolidation, regulatory changes, and the need to continually adapt to new digital technologies for banking, capital market, and insurance industries. Its Health & Public Service segment provides consulting services and digital solutions to help clients deliver social, economic, and health outcomes for healthcare payers and providers, government departments and agencies, public service organizations, educational institutions, and non-profit organizations. The company's Products segment helps clients enhance their performance in distribution, sales, and marketing; in research and development, and manufacturing; and in business functions, such as finance, human resources, procurement, and supply chain. This segment serves clients in consumer goods, retail, and travel services industries; automotive, freight and logistics, industrial and electrical equipment, consumer durable and heavy equipment, and construction and infrastructure management companies; and pharmaceutical, medical technology, and biotechnology companies. Its Resources segment enables clients in chemicals, energy, forest products, metals and mining, and utilities industries to develop and implement strategies, improve operations, manage complex change initiatives, and integrate digital technologies. Accenture plc has alliance relationships with Amazon Web Services, Google, Microsoft, Oracle, Pegasystems, Salesforce, SAP, Workday, TradeIX, and Diebold Nixdorf, Incorporated. The company was founded in 1989 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,,http://www.accenture.com,1.0,1 Grand Canal Square,353 1 646 2020,Information Technology Services,236.07,231.05,198.91971,0.013555301,0.3141,,236.0,,1983060.0,,236.07,231.62686,3.2,231.05,,1983060.0,,,,3.2,1594771200.0,1.020624,,,230.621,2.0,USD,30.4436,2354408.0,,,,148221000000.0,,,1903748.0,3.3272552,230.621,244.99,,800.0,2354408.0,247.82,28.72222,,1.72,137.15,225.01,False,0.0136,800.0,236.0,NYQ,Accenture plc,Accenture plc,America/New_York,EDT,False,-14400000.0,EQUITY,ACN,finmb_972190,us_market,,3.3160000000000003,,0.11113,20.457,0.24470103,,8.1,,636196992.0,,,25.182,5249829.0,0.0082,,1567209600.0,0.74678004,4950337024.0,7.642,,0.15022206,9.238742,0.00185,1630368000.0,1590883200.0,3.48,1594771200.0,635191443.0,147722000000.0,,1325203200.0,10:01,,,-0.017,1597363200.0,4.07,,0.0083,6451831.0,,,231.05,https://logo.clearbit.com/accenture.com,Grand Canal Harbour,,,,
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/8/15,718877,2008,90405,Communication Services,9080.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and distributes content and services on video game consoles, personal computers (PC), and mobile devices in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. It develops, publishes, and sells interactive software products and entertainment content for the console and PC platforms through retail and digital channels, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies; and offer downloadable content. The company also maintains a proprietary online gaming service, Battle.net that facilitates the creation of user generated content, digital distribution, and online social connectivity in its games; and develops and publishes interactive entertainment content and services primarily on mobile platforms, such as Android and iOS, as well as distributes its content and services on the PC platform primarily through Facebook. In addition, it operate esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, and Candy Crush. It serves retailers and distributors, including mass-market retailers, first party digital storefronts, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. was incorporated in 1979 and is headquartered in Santa Monica, California.",Santa Monica,310 255 2000,CA,United States,,http://www.activisionblizzard.com,1.0,3100 Ocean Park Boulevard,,Electronic Gaming & Multimedia,79.01,76.58,71.36797,0.005189216,0.1752,,77.49,,7257080.0,,79.01,82.354,0.41,76.58,,7257080.0,,,,0.41,1586822400.0,0.678372,,,75.92,2.0,USD,32.54165,11025002.0,,,,58801209344.0,,,6729501.0,8.414597500000001,75.92,76.18,,1400.0,11025002.0,87.73,22.945784,,0.61,50.25,75.51,False,0.0052,800.0,77.49,NMS,"Activision Blizzard, Inc","Activision Blizzard, Inc.",America/New_York,EDT,False,-14400000.0,EQUITY,ATVI,finmb_4222231,us_market,,7.872999999999998,,0.25944,22.763,0.41013753,,3.32,,771872000.0,,,17.73,10541842.0,0.0137,,1577750400.0,0.92221,1812999936.0,2.341,,0.15022206,4.2966723,0.013739999,1640908800.0,1593475200.0,1.54,1594771200.0,763219372.0,55018213376.0,,1220832000.0,2:01,,,0.768,1597363200.0,1.0,,0.0138,10651442.0,,,76.58,https://logo.clearbit.com/activisionblizzard.com,,,,,
ADBE,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",5/5/97,796343,1982,95110-2704,Technology,22634.0,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, small and medium businesses, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves traditional content creators, Web application developers, and digital media professionals, as well as their management in marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers solutions for how digital advertising and marketing are created, managed, executed, measured, and optimized. This segment provides analytics, social marketing, targeting, media optimization, digital experience management, cross-channel campaign management, marketing automation, audience management, and video delivery and monetization solutions to digital marketers, advertisers, publishers, merchandisers, Web analysts, chief marketing officers, chief information officers, and chief revenue officers. Its Publishing segment offers products and services, such as e-learning solutions, technical document publishing, Web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force, as well as to end-users through app stores and through its Website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. Adobe Inc. has a strategic partnership with Walgreens Boots Alliance, Inc. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,,http://www.adobe.com,1.0,345 Park Avenue,408 537 6000,Software—Infrastructure,491.94,471.8946,392.06876,,0.0,,481.43,,3458020.0,,491.94,465.5643,,471.8946,,3458020.0,,,,,1111622400.0,0.942028,,,461.18,2.0,USD,60.975063,4533544.0,,,,221668000000.0,,,2850614.0,18.402834,461.18,461.99,,900.0,4533544.0,536.88,41.558453,,,255.13,456.22,False,,800.0,481.43,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,False,-14400000.0,EQUITY,ADBE,finmb_24321,us_market,,19.619,,0.30712998,54.37600000000001,0.7814876000000001,,11.12,,479664992.0,,,22.669,3753325.0,0.0078,,1574985600.0,0.8909999999999999,3699458048.0,7.579,,0.15022206,20.38599,0.00294,1638144000.0,1590710400.0,1.65,1594771200.0,477396422.0,236313000000.0,,1116892800.0,2:01,,,0.738,1597363200.0,3.36,,0.0078,4809586.0,,,471.8946,https://logo.clearbit.com/adobe.com,,,,,
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Santa Clara, California",20/3/17,2488,1969,95054,Technology,11400.0,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen processors with Radeon Vega GPUs, AMD A-Series, AMD Athlon, AMD Ryzen PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct accelerators for servers. In addition, the company provides embedded processor solutions for interactive digital signage, casino gaming, and medical imaging under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment and design manufacturers, datacenters, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. The company was founded in 1969 and is headquartered in Santa Clara, California.",Santa Clara,408 749 4000,CA,United States,,http://www.amd.com,1.0,2485 Augustine Drive,,Semiconductors,82.01,78.05,58.175217,,0.0,,81.88,,73374080.0,,82.01,79.20828,,78.05,,73374080.0,,,,,798940800.0,2.277034,,,78.0,2.0,USD,153.09338,54955672.0,,,,92386787328.0,,,62650451.0,12.083022,78.0,78.45,,900.0,54955672.0,94.28,47.69091,,,27.43,78.4,False,,1100.0,81.88,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",America/New_York,EDT,False,-14400000.0,EQUITY,AMD,finmb_168864,us_market,,12.478,,0.07965,83.104,1.7128682000000002,,1.65,,1174060032.0,,,2.815,44788922.0,0.0381,,1577491200.0,0.78194,609000000.0,0.514,,0.15022206,27.95382,0.00605,1640649600.0,1593216000.0,0.56,1594771200.0,1165439137.0,95403393024.0,,966902400.0,2:01,,,3.486,1597363200.0,2.1,,0.038399998,50061496.0,,,78.05,https://logo.clearbit.com/amd.com,,,,,
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",9/7/15,1158449,1932,27604,Consumer Cyclical,39000.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. Advance Auto Parts, Inc. operates its stores under the Advance Auto Parts, Autopart International, Carquest, and Worldpac brand names. As of December 28, 2019, it operated 4,877 stores and 160 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,253 independently owned Carquest branded stores in Mexico, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,,http://www.advanceautoparts.com,1.0,2635 East Millbrook Road,,Specialty Retail,153.75,152.65,132.05109,0.004032521,0.0954,,154.45,,738540.0,,153.75,153.53485,0.62,152.65,,738540.0,,,,1.0,1600300800.0,1.3506129999999998,,,150.84,2.0,USD,23.375443,1179145.0,,,,10490429440.0,,,879060.0,1.0900301,150.84,151.73,,900.0,1179145.0,171.43,16.673626000000002,,0.19,71.33,151.66,False,0.0065,1100.0,154.45,NYQ,Advance Auto Parts Inc Advance ,"Advance Auto Parts, Inc.",America/New_York,EDT,False,-14400000.0,EQUITY,AAP,finmb_24333,us_market,,1.35,,0.047080003,13.665,-0.006140888000000001,,9.1,,69138800.0,,,54.26,1964511.0,0.028399998,,1577491200.0,1.0409,453124000.0,6.4910000000000005,,0.15022206,2.796351,0.0034100000000000003,1640649600.0,1594425600.0,2.49,1594771200.0,64606112.0,12991933440.0,,1127692800.0,3:02,,,0.522,1597363200.0,2.13,,0.033299997000000005,2572367.0,,,152.65,https://logo.clearbit.com/advanceautoparts.com,,,,,
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",2/10/98,874761,1981,22203,Utilities,8000.0,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels and technologies to generate electricity, including natural gas, coal, pet coke, diesel, and oil, as well as renewables, such as hydro, solar, wind, energy storage, biomass, and landfill gas. The company owns and/or operates a generation portfolio of approximately 30,471 megawatts. It has operations in the United States, Puerto Rico, El Salvador, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was founded in 1981 and is headquartered in Arlington, Virginia.",Arlington,703-522-1315,VA,United States,,http://www.aes.com,1.0,4300 Wilson Boulevard,,Utilities—Diversified,17.57,17.5,14.552245999999998,0.03187251,1.9986,,17.53,,4338720.0,,17.57,16.814571,0.56,17.5,,4338720.0,,,,0.57,1596153600.0,1.031772,,,17.21,2.0,USD,61.302814,4100547.0,,,,11579930624.0,,,5883565.0,1.2048622,17.21,17.63,,4000.0,4100547.0,21.23,11.305195,,3.73,8.11,17.11,False,0.0326,3000.0,17.53,NYQ,The AES Corporation,The AES Corporation,America/New_York,EDT,False,-14400000.0,EQUITY,AES,finmb_35312,us_market,,3.4810000000000003,,0.020079998,10.535,0.157444,,1.54,,665131008.0,,,3.703,14617365.0,0.022,,1577750400.0,0.97926,190000000.0,0.284,,0.15022206,4.7015934,0.00371,1640908800.0,1593475200.0,2.66,1594771200.0,662404110.0,33460355072.0,,959904000.0,2:01,,,,1597363200.0,1.66,,0.0294,13369835.0,,,17.5,https://logo.clearbit.com/aes.com,11th Floor,,,,
